pais,iso3,subregion,anio,decada,dimension,indicador,codigo_bm,unidad,valor,es_outlier
Argentina,ARG,Cono Sur,1990,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,81.6,False
Argentina,ARG,Cono Sur,1991,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,80.2,False
Argentina,ARG,Cono Sur,1992,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,80.7,False
Argentina,ARG,Cono Sur,1993,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,83.1,False
Argentina,ARG,Cono Sur,1994,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,85.2,False
Argentina,ARG,Cono Sur,1995,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,84.4,False
Argentina,ARG,Cono Sur,1996,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,87.3,False
Argentina,ARG,Cono Sur,1997,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.0,False
Argentina,ARG,Cono Sur,1998,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.1,False
Argentina,ARG,Cono Sur,1999,1990s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.8,False
Argentina,ARG,Cono Sur,2000,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.2,False
Argentina,ARG,Cono Sur,2001,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.0,False
Argentina,ARG,Cono Sur,2002,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.7,False
Argentina,ARG,Cono Sur,2003,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,87.1,False
Argentina,ARG,Cono Sur,2004,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,87.2,False
Argentina,ARG,Cono Sur,2005,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.1,False
Argentina,ARG,Cono Sur,2006,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.5,False
Argentina,ARG,Cono Sur,2007,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.7,False
Argentina,ARG,Cono Sur,2008,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.8,False
Argentina,ARG,Cono Sur,2009,2000s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.7,False
Argentina,ARG,Cono Sur,2010,2010s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,90.0,False
Argentina,ARG,Cono Sur,2011,2010s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,88.0,False
Argentina,ARG,Cono Sur,2012,2010s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.6,False
Argentina,ARG,Cono Sur,2013,2010s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,89.9,False
Argentina,ARG,Cono Sur,2014,2010s,Estructura sectorial,Empleo femenino en servicios,SL.SRV.EMPL.FE.ZS,% del empleo femenino,90.7,False
Argentina,ARG,Cono Sur,1990,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,27.0,False
Argentina,ARG,Cono Sur,1991,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,26.6,False
Argentina,ARG,Cono Sur,1992,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,25.1,False
Argentina,ARG,Cono Sur,1993,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,25.5,False
Argentina,ARG,Cono Sur,1994,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,25.4,False
Argentina,ARG,Cono Sur,1995,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,22.7,False
Argentina,ARG,Cono Sur,1996,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,23.2,False
Argentina,ARG,Cono Sur,1997,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,22.5,False
Argentina,ARG,Cono Sur,1998,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,22.0,False
Argentina,ARG,Cono Sur,1999,1990s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,21.6,False
Argentina,ARG,Cono Sur,2000,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,20.6,False
Argentina,ARG,Cono Sur,2001,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,21.4,False
Argentina,ARG,Cono Sur,2002,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,20.0,False
Argentina,ARG,Cono Sur,2003,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,19.1,False
Argentina,ARG,Cono Sur,2004,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,19.0,False
Argentina,ARG,Cono Sur,2005,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,18.6,False
Argentina,ARG,Cono Sur,2006,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,17.3,False
Argentina,ARG,Cono Sur,2007,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.6,False
Argentina,ARG,Cono Sur,2008,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.4,False
Argentina,ARG,Cono Sur,2009,2000s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.9,False
Argentina,ARG,Cono Sur,2010,2010s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.5,False
Argentina,ARG,Cono Sur,2011,2010s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.1,False
Argentina,ARG,Cono Sur,2012,2010s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.1,False
Argentina,ARG,Cono Sur,2013,2010s,Calidad del empleo,Empleo vulnerable femenino,SL.EMP.VULN.FE.ZS,% del empleo femenino,16.3,False
Argentina,ARG,Cono Sur,2010,2010s,Liderazgo empresarial,Firmas con gerenta mujer,IC.FRM.FEMM.ZS,% de firmas,9.2,False
Argentina,ARG,Cono Sur,2006,2000s,Liderazgo empresarial,Firmas con propiedad femenina,IC.FRM.FEMO.ZS,% de firmas,30.3,False
Argentina,ARG,Cono Sur,2010,2010s,Liderazgo empresarial,Firmas con propiedad femenina,IC.FRM.FEMO.ZS,% de firmas,38.0,False
Argentina,ARG,Cono Sur,1998,1990s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,24.61,False
Argentina,ARG,Cono Sur,1999,1990s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,26.75,False
Argentina,ARG,Cono Sur,2000,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,27.4,False
Argentina,ARG,Cono Sur,2001,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,27.17,False
Argentina,ARG,Cono Sur,2002,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,25.77,False
Argentina,ARG,Cono Sur,2003,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,28.95,False
Argentina,ARG,Cono Sur,2004,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,35.61,False
Argentina,ARG,Cono Sur,2005,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,32.86,False
Argentina,ARG,Cono Sur,2006,2000s,Liderazgo,Mujeres en puestos directivos,SG.GEN.LSOM.ZS,% del total de directivos,23.12,False
Argentina,ARG,Cono Sur,1990,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,4318.77,False
Argentina,ARG,Cono Sur,1991,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,5715.5,False
Argentina,ARG,Cono Sur,1992,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,6798.03,False
Argentina,ARG,Cono Sur,1993,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,6940.35,False
Argentina,ARG,Cono Sur,1994,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,7449.48,False
Argentina,ARG,Cono Sur,1995,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,7373.43,False
Argentina,ARG,Cono Sur,1996,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,7683.57,False
Argentina,ARG,Cono Sur,1997,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,8172.67,False
Argentina,ARG,Cono Sur,1998,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,8248.76,False
Argentina,ARG,Cono Sur,1999,1990s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,7736.37,False
Argentina,ARG,Cono Sur,2000,2000s,Contexto,PBI per cápita,NY.GDP.PCAP.CD,USD corrientes,7669.27,False
